review,rating,timestamp
👍,5,2025-05-18 10:33:08
"tolong di perbaiki aplikasinya,data kendaraan TDK bisa terbaca",1,2025-05-18 10:28:11
apkikasi yang bagus,5,2025-05-18 10:18:04
mau login pakai NIK yg terdaftar tidak bisa.. sudah beberapa kali gagal terus..,2,2025-05-18 09:04:26
"aplikasi broken, udah daftar tp tiap masuk verifikasi mulu, udah lama ga dibuka baru dibuka malah NIK tidak terdaftar, pdhl login di web lewat laptop bisa tp di HP tidak bisa, APLIKASI RUSAKK",1,2025-05-18 08:21:40
Mantap 👍👍👍👍👍,5,2025-05-18 08:15:18
sangat puas,5,2025-05-18 08:07:32
daftar,5,2025-05-18 07:23:19
ribet tapi praktis,5,2025-05-18 07:07:31
ok,5,2025-05-18 07:00:22
aplikasi apa ini udah lengkap nih daftarin datanya malah sistem nya bermasalah dan tolong perbaikilah secepat mungkin,1,2025-05-18 06:48:22
Ok,5,2025-05-18 05:59:36
"aplikasi jelek, mau daftar malah di suruh lewat web atau google, terus gunanya di bikin aplikasi apaan, ngabisin anggaran negara doang, mau update nomer plat aja susah",1,2025-05-18 05:49:54
sangat baik,5,2025-05-18 04:33:22
"Pelayanan operator Pertamina Call Center 135 dan layanan via email sangat memuaskan, saya di layani dengan baik dan dicarikan solusi terbaik dan memang pelayanannya 24 jam 👍👍👍",5,2025-05-18 02:55:19
sangat baik,5,2025-05-18 01:52:30
"aplikasi busuk, sampah gajelas",1,2025-05-18 01:51:02
jelek...!,1,2025-05-18 01:26:49
"aplikasi nya eror masa kita udah punya akun,di bilang nik sama pasword nya tidak terdata padahal udh ada akun nya tolong segera di perbaiki",1,2025-05-18 01:11:30
sekarang susah log in,1,2025-05-18 01:07:01
Beli LPG di spbu belum ada transaksi LPG nya jadinya masuk ke pertamax spbu 11.201.104,3,2025-05-18 00:40:08
ok,5,2025-05-17 18:15:43
ribet bener daftarnya,1,2025-05-17 15:06:09
"Bagus,",5,2025-05-17 14:33:54
ini gimana sih tiap mau ambil barcode data tidak di temukan terus,1,2025-05-17 13:49:36
ini aplikasi sebenarnya gimna ya mau login aja susanya bukan main.data sudah di isi semua dan lengkap Mala muncul gangguan sistem terus berbulan² begitu terus🤦,1,2025-05-17 13:29:42
"Buat akun baru pertama kali selalu terjadi kesalahan sistem,pdahal data udah benar... baru dftar akun doang, blom upload2 dokumen hadeehh...udah ribet sistem ny error, gmna mau isi BBM ni",1,2025-05-17 13:26:36
lama banget ga di layanin malah jalur yg lain terus,2,2025-05-17 11:39:42
"barusan mau daftar tapi malah sistem sedang bermasalah, tolong segera diperbaiki. terimakasih",4,2025-05-17 10:55:56
"kaga bisa dftar subsidi tepat, aneh aneh",1,2025-05-17 10:22:07
Sebenarnya aplikasi MyPertamina sangat membantu disaat tidak membawa uang cash. tapi masih banyak SPBU yg tidak melayani pembayaran melalui aplikasi MyPertamina. sungguh sangat terlalu 😭,5,2025-05-17 09:44:25
my pertamina trowbel menyusahkan para pengusaha rental,5,2025-05-17 09:06:52
"aplikasi tol0l,",1,2025-05-17 08:58:21
"kenapa makin kesini aplikasinya makin gak bener ya.soalnya mau masuk ke akun,gk pernah bisa.asyik kata2 NIK atau password salah.padahal akunnya dari dulu itu saja.jangn di persulit lha tolong.",1,2025-05-17 08:39:08
tidak bisa masuk,1,2025-05-17 08:37:27
"sudah daftar untuk subsidi, direkomendasikan ke google chrome atau firefox. gunanya Apk My Pertamina apa? Sudah daftar berkali-kali eh tidah bisa (sistem eror). Sebetulnya Ada apa dengan pertamina?",1,2025-05-17 08:06:14
aplikasi ga jelasss login nik ga bisa jelas nik udah benr,1,2025-05-17 07:47:13
"makasih sarannya min untuk kesusahan login dengan apk kita bisa coba ke websitenya, langsung ku ganti bintang 5👍",5,2025-05-17 07:47:05
tidak ada history pembelian bbm,1,2025-05-17 07:24:23
bagus,5,2025-05-17 07:20:44
"aplikasi ini penipu menurut saya,bila kita belanja 300ribu menggunakan bayar aplikasi,sedangkan volume minyak hanya 270,maka itu akan terpkai semua.",1,2025-05-17 06:54:05
"mohon diperbaiki lagi, barcode sudah discan tiba-tiba sinyal hilang dan disconect masa gak bisa ngisi bbm disuruh nunggu 2jam an lagi baru bisa ngisi, kalau sopir muatan barang suruh nunggu 2jam an yg ada malah dipecat karena tidak bisa kirim, kejadian gak cuma 1kali",1,2025-05-17 04:48:31
ketika mau buat akun untuk daftar selalu terjadi kesalahan pada sistem.. jika belom bisa memadai mbok ya gakusah di persulit proses digitalisasinya,1,2025-05-17 04:38:59
sangat membantu,5,2025-05-17 04:17:01
aplikasi menyusahkan,1,2025-05-17 04:04:12
mantap tapi sayang metode pembayaran dak bisa dengan apk dana,5,2025-05-17 02:46:41
👍👍👍👍,5,2025-05-17 01:42:38
siiip,5,2025-05-17 01:05:38
oke,5,2025-05-16 23:00:48
kenapa sy tdak bisa login..setiap login pastis tertulis NIK at paswod salah.pahal nik dan paswod sdah benar,1,2025-05-16 15:05:21
Gak bisa masuk akun...aplikasi busuk,1,2025-05-16 14:48:39
ini mau bayar tagihan gas kok gak bisa iya.mohon bantuanya .untuk segera diperbaiki dan untuk bisa bayar tagihan gas.,1,2025-05-16 14:38:35
aneh. sudah punya akun. sudah terdaftar dan sudah dapat barcode lama gak di buka tiba tiba logout. masukin akun katanya gak terdaftar.,1,2025-05-16 13:42:25
"bukan nya membantu malah nyusahin,ini buat kaum bawah atau kaum atas ????",1,2025-05-16 11:32:07
ini kenapa selalu sistem error coba lagi nanti,1,2025-05-16 10:13:41
bagus,5,2025-05-16 10:07:25
nik ktp salah terus dan otp yg di kirimkan salah terus padah saya sudah memiliki akun dan sudah bikin barcode di my pertamina saya mohon di perbaiki lagi untuk masalah itu saya juga udh konfirmasi dengan call center my pertamina tapi tetep g bisa haduh,1,2025-05-16 09:18:04
ok banget,5,2025-05-16 08:33:06
bagus lebih aman dengan adanya barcode,5,2025-05-16 08:11:14
sangat jelek susah nya minta ampun ketika pendaftaran... setelah terdaftar pun suka logout sendiri ketikan login catcha not valid error.. bagaimana ini apk sekelas bumn kalah sama yg punya swasta,1,2025-05-16 08:02:27
mantap lebih praktis tanpa ribet dan tidak usah antri tentunya,5,2025-05-16 06:33:01
👍,5,2025-05-16 04:44:08
"APLIKASI SAMPAH !!!!! Sering di tolak SPBU Pertamina klo bayar pke aplikasi ini dgn alasan gak bisa pke aplikasi. Gimana ceritanya? penjual bikin produk, tpi konsumen gak bisa lakukan pmbayaran pakai produk yg dibuat oleh penjual itu sendiri !!!!",1,2025-05-16 03:52:28
ok,5,2025-05-16 02:29:43
lancar,5,2025-05-16 02:08:59
kebanyakan pom bensin eror,1,2025-05-16 02:02:17
memudahkan,5,2025-05-16 01:39:55
makasih ya,5,2025-05-15 20:00:42
apk apaan tiap mau daftar subsidi tepat gak bisa terus!! Udah mah di korup ngisi bahan bakar susah!! mau daftar juga susah!!,1,2025-05-15 17:29:14
ini kenapa ya min tiap scan barcode katanya sistem sedang transaksi di tmpt lain sehingga gbsa digunakan. Padahal saya ga pernah scan transaksi BBM sebelumnya. thx min atas solusinya,5,2025-05-15 16:03:38
"daritadi gk bisa2 buat akun untuk subsidi pertalite 😞, keterangannya kesalahan pada sistem terus",1,2025-05-15 14:58:50
"aplikasi kopet, yg makek orang seindonesia dan wajib malah eror/gangguan teros, gajelas",1,2025-05-15 14:54:35
APLIKASI SAMPAH TIBA2 LOG OIT SAYA LOGIN DENGAN NIK DAN PASWORD YG SESUAI GAK BISA KETERANGAN NIK GK SESUAI APLIKASI SAMPAH MY PERTAMINA INI,1,2025-05-15 13:34:30
"aplikasinya masih payah tiap mau isi, dibuka aplikasinya log out sendiri untuk lihat barcode nya. uda gitu NIK & password sudah benerpun susah log in.. paayaaah..... paaayaahhhh.... payaaahhh.... BEENERIN INI APLIKASINYA... BIKIN SUSAH...",1,2025-05-15 13:30:26
Penyelamat dr antrian Pertalite yg mengular tp pernah sesekali gangguan... Thanks My Pertamina,5,2025-05-15 13:14:08
ribet cara daftarnya,1,2025-05-15 12:02:19
cepat dan gak ribet,5,2025-05-15 10:53:38
kata sandi nik KTP sama sesuai gbisa masuk aneh aplikasi tmbh ksini tmbh gjls,1,2025-05-15 09:40:47
oke,5,2025-05-15 09:37:11
baik,5,2025-05-15 07:45:47
kirim form keluhan aja gk bisa untuk mendapatkan barcode di persulit,1,2025-05-15 07:44:18
semoga pertalite menjadi Rp. 8.100 AMIN,3,2025-05-15 07:38:10
susah selalu gagal menyusahkan masyarakat,1,2025-05-15 06:29:31
tidak operator SPBU yg paham atau mengerti cara pemakaian aplikasi my Pertamina,3,2025-05-15 05:59:48
Alhamdulillah semoga berkah dan bermanfaat selalu . . . .,4,2025-05-15 05:37:42
Bobroook mau bikin QR Code mau daftar pertalite aja ga bisa bisa padahal foto stnk foto kendaraan SUDAH PALING JELAS Katanya NOPOL Tidak Valid Begitu teruuuuusssss,1,2025-05-15 05:01:26
sangat mudah dan muaskan👍👍,5,2025-05-15 03:46:31
sistem nya gimana gak bisa login ke barcode,3,2025-05-15 03:44:55
Data di hack di emal gak bales proses lama banyak drama banyak ina inu padahal data udah di kirim semua aplikasi gak pernah sinkron data keluar² sendiri kecewa bahan bakar di beli aja di persulit apa lagi di minta,1,2025-05-15 03:26:55
untuk menambahkan kendaraan kok gak bisa yahh??,5,2025-05-15 03:03:15
"sudah bikin akun, sudah reset kata sandi, tetapi masih belum bisa proses bikin barcode BBM bersubsidi.",1,2025-05-15 02:40:47
"ini barcode menyusahkan!!! Karena mau daftar barcode aja susah. selalu captcha not is valid, padahal sudah betul, apa Pertamina nya yang salah kirim kode ke email ?",1,2025-05-15 02:19:22
"error terus, gak mutu..... malah disaranin pakai browser.. terus gunanya aplikasi untuk apa.. belajar lagi lah dalam pengembangan aplikasi...",1,2025-05-15 02:10:44
promo isi pertamax series minimal 300k dapat voucher 10k di setiap hari minggu selama tahun 2025... Ternyata di prank...!!!! Video Call nunggu 30 menit antrian tetap di nomor 10. telp 135 pas nyambung ke agen malah di matikan. chat nadia malah mbulet... padahal isi bbm pertamax series.,1,2025-05-15 02:02:58
"aplikasi menyusahkan masyarakat... log in susah, daftar subsidi susah, data kendaraan tidak di temukan, data kendaraan sudah terdaftar, kenapa harus ada yg mudah kalo masih bisa ngasih kesulitan... kalo perlu tambah lagi tingkat kesulitan nya biar tambah kaya orang2 pertamina.....",1,2025-05-15 00:36:02
Terimakasih,5,2025-05-14 23:55:12
aplikasi parah gak bisa masuk ke subsidi tepat NIK dan pasword salah/NIK tidak terdaftar..pake browser bisa.....,2,2025-05-14 23:54:02
Bikin akun nya di persulit,1,2025-05-14 21:29:04
"tolong dipersiapkan dengan betul aplikasinya, jgn bikin susah rakyat kecil, susah sekali login aplikasi ini, buruk",1,2025-05-14 14:48:16
mantul,5,2025-05-14 13:01:10
login susah,1,2025-05-14 11:03:06
"ini sebenarnya apk bagaimana ya.. akun my Pertamina sudah berhasil dibuat dan akan mendaftarkan unit subsidi formulir sudah dilengkapi semua seperti foto stnk depan belakang sudah mengikuti panduan yg diberikan foto kendaraan jg sudah mengikuti panduan sudut foto dari samping+-45derajat kendala selanjutnya pada saat kirim data tidak ada respon, sudah coba berulang kali tetap tidak ada respon pada saat kirim data..",1,2025-05-14 09:03:38
Bajuz...tingkatkan lagi Min 🙏🏻,5,2025-05-14 09:00:50
okeh,5,2025-05-14 07:50:04
membantu,5,2025-05-14 07:48:10
tidak bisa buat akun. keterangannnya sistem terus error,2,2025-05-14 05:59:11
lebih mudah & praktis. tidak perlu antri panjang menunggu,5,2025-05-14 05:21:06
mantap,5,2025-05-14 04:40:06
lebih praktis,5,2025-05-14 04:22:58
👍,5,2025-05-14 02:56:54
good,5,2025-05-14 02:42:56
mantap,5,2025-05-14 02:32:03
"apk gak guna. sangat buruk sekali. mau masuk aja gak bisa lo. mau daftarin mobil gak bisa. padahal akun saya sudah terdaftar, tapi gak bisa masuk. buuuuuuuruuuuuuk",1,2025-05-14 02:21:07
ya bagus,4,2025-05-14 02:07:52
mantap,5,2025-05-14 01:42:28
cuma pembayaran metode link doang bingung mau pake bagaimana. pengisian bensin di SPBU di usahakan bisa lebih banyak metode via wallet . Kenapa SPBU antrian panjang tidak punya solusi cepat.,3,2025-05-13 23:28:19
"aplikasi ngak guna, hubungi cs aja susah lewat video call udh nunggu 1 jam 15 menit masih nungu satu peserta",1,2025-05-13 14:04:37
"data di system roda 2, padahal kenyataannya roda 4. Sudah melapor melalui semua layanan tapi tidak ada tindak lanjut.",1,2025-05-13 13:38:11
aplikasi eror terus... t,1,2025-05-13 12:16:05
mantap,5,2025-05-13 09:45:06
sangat baik dan membantu,5,2025-05-13 09:32:09
"Saya sudah kirimkan semua document tentang perbaikan barcod yg diblokir,katanya 14hari kerja tapi udah lewat 14hari kok msih blum ada tanggapan apa2.. tolong buat pihak pertamina,orang yg benar2 membutuhkan dibikin sulit,smentara yg suka mlangsir dan menyalahgunakan bbm smpai skrg masih banyak tuh.contohnya didaerah jambi dan sumbar",1,2025-05-13 09:12:32
"aplikasi keslahan sistem terus, gabisa daftar subsidi tepat . sudah berkali kali daftar tetap tidak bisa, ga ada solusi sudah call center juga",1,2025-05-13 08:26:59
susah dapat kode qr,3,2025-05-13 05:29:41
bagus,5,2025-05-13 04:39:34
"apk dontol,,,tolong saya mau alih berkas nya kenapa eror Mulu ,,,kalo mau berkembang ne apk harap perbaiki,,",1,2025-05-13 03:08:27
mantap,5,2025-05-13 02:24:45
sering ganguan,1,2025-05-13 00:02:22
tolong dong perbaiki makin sini makin sore seperti masuk akun sendiri aja salah Mulu sampe daftar dokumen pun di tolak,2,2025-05-12 23:22:37
"sudah daftar dan cetak barcode..tapi ketika lupa barcode, susah sekali untuk munculin barcode ulang.. harusnya di menu profil bisa di lihat ulang code barcodenya.. mana lagi pas antri dan sampai pada giliran pengisian bbm.. malah isi ulang data diri.. payah..",1,2025-05-12 22:44:32
ok,3,2025-05-12 15:12:15
sistem nya eror terus udah dicoba 24 jam tetep eror sistemnya,1,2025-05-12 12:19:50
good luck,5,2025-05-12 11:46:48
bagus,5,2025-05-12 11:07:24
susah masuk...sebetul nya aplikasi ini TDK perlu d ada kan..pungsinya apa,1,2025-05-12 10:12:55
"daftar subsidi gagal terus, system eror terus sudah berbulan bulan.",1,2025-05-12 10:04:06
aplikasi ini yg membuat pening kepala mau sampai kapan ya error nya coba tolong min perbaiki klo memang mau membantu masyarakat kecil,1,2025-05-12 09:41:31
di persulit,1,2025-05-12 09:07:32
pelayanan bagus,5,2025-05-12 08:36:16
"tolong diperbaiki lagi min,saya mau daftar gak bisaa masuk",5,2025-05-12 07:36:15
"terlalu ribet, harus bolak-balik log-in",1,2025-05-12 06:56:50
"Aplikasi Gajelas Gua Mau Login Kata Sandi Sama NIK Salah Mulu Setres , Padahal Kalo Login Di Google Mah Kata Sandi Sama NIK Selalu Benar , Aplikasi Gajelas Setres",1,2025-05-12 06:35:58
"sangat mengecewakan seluruh rakyat Indonesia terutama saya sendiri,tidak jelas sangat leleh, giliran kita sudah bener ngisi form semua keluar notifikasi dr aplikasi katanya kesalahan sistem, kecewa",1,2025-05-12 06:03:37
sangat baik,5,2025-05-12 04:35:32
"masa login subsisdi tepat kmrin bisa skrg gk bisa login, apa akunnya hilang?",1,2025-05-12 04:14:40
"GAJI BUTA!!! BENERKAN APPLIKASINYA!! INI KAH YANG NAMANYA MELAYANI MASYARAT??? ATAU MEMPERSULIT?? YANG BIKIN APPLIKASI TAPI TIDAK BISA BUAT AKUN BARU DAH COBA BERULANG KALI MAU PAGI,SIANG,MALAM SAMPE 3 HARI GAK BISA JUGA",1,2025-05-12 04:09:23
"pas di tekan buat akun di apk malah eror mulu, di web juga ga bisa, ini gimana ya?tolong benerin jangan tidur mulu",1,2025-05-12 03:19:00
"Gangguan Terus, Banyak anggaran baiki server bos.",1,2025-05-12 03:03:24
"tiap mau lihat barcode, harus Login terus, dan Verifikasi Via Email. aplikasinya tidak bisa mengingat login, baru Login dan scroll sosmed, buka aplikasi lagi, mintak Login lagi.",1,2025-05-12 02:55:54
sering sering kasih voucher,5,2025-05-12 02:24:52
belum dapat barcode,4,2025-05-12 01:55:26
ini aplikasi kok susah amat ya. ini perusahaan besar lo. bolak balik masuk aplikasi tapi sampai encok ni jari. upload STNK selalu gagal dan selalu keluar. tolong dong diperbaiki pertamina. penguasa pasar minyak indonesia raya,1,2025-05-12 01:32:34
"aku belum daftar kok bisa pulak plat kendaraan ku udah digunakan, coba ini harus gimana ?",1,2025-05-11 23:47:31
"Saya sudah berkali² mencoba tp belum sampai tahap akhir, selalu ada notif KESALAHAN PADA SISTEM, KEMBALI BEBERAPA SAAT LAGI. Dan itu selalu berulang padahal data yg di input sudah benar dan lengkap, ada apa dengan sistemnya. Mohon diperbaiki agar aplikasinya dpt digunakan. Terima kasih.",2,2025-05-11 22:04:54
"tolong tambahkan ""Shopeepay"" sebagai metode pembayaran",5,2025-05-11 21:23:13
susah untuk masuk peraturan pemerintah berbelit-belit sulit untuk bisa maju,1,2025-05-11 20:34:48
bagus,5,2025-05-11 18:41:18
seluruh manusia kebingungan atas aplikasi ini..menjengkelkan aplikasi tolol...,1,2025-05-11 16:55:14
Mantao dan sangat memabnatu terimakaish ky pertamina,5,2025-05-11 16:01:58
best,5,2025-05-11 15:48:56
ok,5,2025-05-11 13:09:04
tidak bisa daftar barkot kendaraan,3,2025-05-11 12:13:56
aplikasi kok eror terus,1,2025-05-11 11:14:37
sekarang setiap daftar akun lagi ada masalh sistem.tolonglh jika memang tidak bisa lagi daftar dihapus saja sistem barkot . krna banyak yg tidak mengerti cara daftar akun blom lagi daftar unit BBM nya,4,2025-05-11 10:57:22
"sistem pertamina sekarang sangat menyulitkan bagi masyarakat, tanpa alasan kesalahan dan pelanggaran apa yg dilakukan oleh customer, utk dapat memulihkan kembali pemblokiran QR Code pun sangat rumit dgn syarat2 yg membuat kami kesulitan utk menyelesaikannya, apakah seperti ini sistem aplikasi yg dijalan oleh pertamina bagi warga Indonesia, wajib dikasih bintang 1 ini krn sama sekali tidak membantu kami dalam menyelesaikan masalah pemblokiran ini",1,2025-05-11 09:26:45
"error mulu, akun sudah pernah terdaftar subsidi kok di cek belum terdaftar, giliran mau daftar eh kedetek sudah terdaftar, ANEH...",1,2025-05-11 08:50:38
apk cacad mw beli minyak lewat myprtamina malah sering gangguan wkwk jamet jamet,1,2025-05-11 08:15:04
gangguan mulu ni aplikasi bukan nya lebih cepet malah lebih lama,1,2025-05-11 07:56:56
"masuk ke akun sendiri sulit , padahal sudah sesuai dengan nik dan password,",3,2025-05-11 06:52:17
👎,1,2025-05-11 06:19:48
"masih proses daftar.. jika semua lancar,,,baru bintangnya menyusul...",3,2025-05-11 06:03:35
"apk rusak, gak ada gunanya, masa mau login selalu gagal",1,2025-05-11 05:20:36
membantu,3,2025-05-11 04:03:40
lambat,4,2025-05-11 03:15:20
good,5,2025-05-11 02:57:24
ribet ajg barcode eror pula mau beli di bikin ribet,1,2025-05-11 01:33:46
mau daftar aja dipersulit.,1,2025-05-11 01:12:21
"sistem eror terus udah dicoba 3 hari eror terus, tolong lah sekelas pertamina masa aplikasinya kek gini, bagian IT nya bobrok sekali 😂, tolong diperbaiki agar mudah pendaftarannya",1,2025-05-11 00:50:19
sangat membantu,5,2025-05-10 16:11:31
ini kenapa kalau masuk ke subsidi tepat selalu NIK pasword salah ..padahal sudah benar padahal masuk di crome bisa,1,2025-05-10 14:31:13
aplkasi paling jelek di play store,1,2025-05-10 14:11:06
oke,5,2025-05-10 11:31:15
my pertaminan tidak jelas dang sangat sukit diaplikasikan,3,2025-05-10 11:04:27
"mudaah, dan sangat mudah",5,2025-05-10 08:50:31
"buruk,beli bensin ada acara gagal segala",1,2025-05-10 08:46:19
ok,5,2025-05-10 07:28:16
top,5,2025-05-10 06:33:00
"klaim kode qr , telfon pulsa kirain ada orang cuman bot doang di bayar pulsa !",1,2025-05-10 05:50:57
tdk semua petugas spbu bsa menggunakan aplikasi my pertamina,4,2025-05-10 05:43:23
mantap permudah pemggunaan,5,2025-05-10 05:00:02
ok,5,2025-05-10 04:45:20
kode otp gagal teros buos!,1,2025-05-10 03:11:32
good job,5,2025-05-10 02:52:56
pembuatan akun subsidi tepat tidak bisa,1,2025-05-10 00:37:57
mantap,5,2025-05-09 23:00:13
percuma bikin aplikasi kalo ga bisa di gunakan masuk akun subsidi tepat ga bisa nik salah kata sandi salah semua salah tau nya aplikasi nya yg salah ga bisa di pake lg,1,2025-05-09 20:49:14
"min mau tanya ini cara buka blokir kode QR keblokir gimana telpon 135 gak direspon,padahal saya belinya wajar kok bisa keblokir,mohon bantuannya min",4,2025-05-09 17:51:43
aplikasi gabisa dibuka,1,2025-05-09 17:03:08
"saya sering menggunakan aplikasi ini untuk bertransaksi BBM di SPBU, tapi sampai sekarang terlalu sulit untuk mendapatkan points.",1,2025-05-09 15:42:29
tiap ngusu no HP format tidak sesuai maksud tidak sesuai seprti apa?,1,2025-05-09 09:02:04
dlouedp,5,2025-05-09 08:56:18
aplikasi x tidak bisa dibuka,1,2025-05-09 08:28:10
gak jelas sudah di daftar gk bisa masuki NIK ktp tidak di ketemu in. ribet.,1,2025-05-09 08:18:06
"Mohon fitur subsidi tepat nya diperbaiki,terutama pada menu claim qrcode.,kenapa nggak bisa claim qrcode.???",2,2025-05-09 08:11:41
mau masuk ke akun gak bisa,5,2025-05-09 06:15:13
"Utk apa dibuat aplikasi ini klu ujung2nya disuruh daftar melalui chrome, proses pendaftaran susahnya minta ampun gagal terus padahal mobil saya tahun tua yg bener2 butuh subsidi, mungkin disengaja dipersulit daftar biar ngisi Pertamax terus, PENUH DRAMA",1,2025-05-09 05:03:04
habis update malah akun eror....paswod gk sama....gmn ini,1,2025-05-09 04:42:02
"udah punya akun udah login tiba tiba keluar sendiri terus login lagi, login lagi ga bisa dengan alasan nik atau password salah",1,2025-05-09 04:23:14
"aplikasi ga jelas di ulang"" tetep ga bisa daftar kesalahan sistem terus bukan nya mempermudah malah mempersulit",1,2025-05-09 04:15:16
"mau daftar doang, kesalahan pada sistem terus. kalau ga siap gausah ribet pake aplikasi2 segala elah.",1,2025-05-09 04:12:31
nyesel saya dowload di kota saya tidak menerima pembayaran melalui my pertamina minta nya cas ;(,1,2025-05-09 03:07:18
"APLIKASI LONGOR, PERUSAHAAN TERKORUP DI INDONESIA.",1,2025-05-09 01:31:53
"mau buat qrcode sulitnya minta ampun, setelah klik buat akun malah muncul error",2,2025-05-09 01:22:57
keren,5,2025-05-09 00:48:06
"ini PT perasaan ga ada profesional nya, udah monopoli masih payah aja... pertamax di oplos, pertalite dapet barcode nya susah.. apalah maunya!! apa saya disuruh isi pertamax Turbo?",1,2025-05-08 16:01:04
oke,4,2025-05-08 14:32:20
Sangat baik,5,2025-05-08 13:51:14
entah apa maunya. upaya mempersulit kehidupan,1,2025-05-08 13:42:42
aplikasi nya bagus membantu beli BBM lewat online,5,2025-05-08 13:28:16
oke,3,2025-05-08 12:59:35
nice,5,2025-05-08 12:58:29
Membantu dan tidak antrian,5,2025-05-08 12:15:14
"udah update, tetap ga bisa! gimana sih aplikasinya? orang mau beli BBM jadi ga bisa! malah menyusahkan pakai aplikasi begini!",1,2025-05-08 11:30:24
sangat memuaskan,5,2025-05-08 11:13:31
sangat mmbantu,5,2025-05-08 10:55:21
mantab jiwa,5,2025-05-08 09:26:53
