review,rating,cleaned_review,sentiment
"Aplikasi terlalu ribet saat pendaftaran, konfirmasi data berulang dll. Pengambilan foto sulit dilanjuhkan.!!! Karepmu pye yo jhan².?!!!",1,aplikasi terlalu ribet saat pendaftaran konfirmasi data berulang dll pengambilan foto sulit dilanjuhkan karepmu pye yo jhan²,netral
Pertamina pasti bisa menjadi lebih baik,5,pertamina pasti bisa menjadi lebih baik,netral
"Aplikasi error terus, pas lagi dibutuhkan mendadak kan bikin repot. Payah..",2,aplikasi error terus pas lagi dibutuhkan mendadak kan bikin repot payah,netral
Sangat membagobgkan beli solar makin sulit aja harus ada STNK harus ada barcode,5,sangat membagobgkan beli solar makin sulit aja harus ada stnk harus ada barcode,netral
"Bikin aplikasi bikin aplikasi habis berapa duit coba? Ini termasuk celah korupsi! Fitur ga lengkap, kalau ga bisa update stok BBM di tiap pom buat apa coba",1,bikin aplikasi bikin aplikasi habis berapa duit coba ini termasuk celah korupsi fitur ga lengkap kalau ga bisa update stok bbm di tiap pom buat apa coba,netral
"Dari awal daftar salah ke roda 2 setelah di update data , verifikasi ditolak terus Gmna solusinya?",3,dari awal daftar salah ke roda  setelah di update data  verifikasi ditolak terus gmna solusinya,netral
"Udah bagus APK nya, tapi otaknya BUMN MIKIR LAGI ! Kalo kita lupa barcode masak masih mau ribet log in verifikasi data KTP ulang di aplikasi, langsung Tampilin barcode di MENU APLIKASI, sekolah tinggi2 masih aja bodooo! Gak enak sama yang antri kalo ribet cari barcode",3,udah bagus apk nya tapi otaknya bumn mikir lagi  kalo kita lupa barcode masak masih mau ribet log in verifikasi data ktp ulang di aplikasi langsung tampilin barcode di menu aplikasi sekolah tinggi masih aja bodooo gak enak sama yang antri kalo ribet cari barcode,netral
mesin edc kurang bagus mohon di cek,4,mesin edc kurang bagus mohon di cek,netral
Pelayanan Jauh Lebeh Lambat Ketimbang Antri Bayar Tunai !!!!! 😡😡😡😡,1,pelayanan jauh lebeh lambat ketimbang antri bayar tunai,netral
gagal terus,1,gagal terus,netral
Gmn sie udah isi data suruh isi data lagi.,1,gmn sie udah isi data suruh isi data lagi,netral
Bagaimana cara upgrade barcode pembelian pertalite. Harusnya diaplikasi tinggal update ngk ribet ya,1,bagaimana cara upgrade barcode pembelian pertalite harusnya diaplikasi tinggal update ngk ribet ya,netral
"mantap proses cepat,terima kasih",5,mantap proses cepatterima kasih,netral
trima kasih aplikasi ini sangat membantu,5,trima kasih aplikasi ini sangat membantu,netral
mantab,5,mantab,netral
Semenjak berita oplosan pertamina jadi keren,1,semenjak berita oplosan pertamina jadi keren,netral
"Sudah terdaftar dengan plat nomor lama tp kemudian harus ganti plat karna sudah lima tahun, kemudian nomor plat yg baru berbeda dengan yg lama otomatis harus ganti data dan bla bla bla... Begitu data lama sudah di hapus dan menginput data yg baru pengajuan saya di tolak dengan alasan data kendaraan tidak ditemukan di data base kendaraan mypertamina. Gini amat ya hidup dinegara Indonesia raya",1,sudah terdaftar dengan plat nomor lama tp kemudian harus ganti plat karna sudah lima tahun kemudian nomor plat yg baru berbeda dengan yg lama otomatis harus ganti data dan bla bla bla begitu data lama sudah di hapus dan menginput data yg baru pengajuan saya di tolak dengan alasan data kendaraan tidak ditemukan di data base kendaraan mypertamina gini amat ya hidup dinegara indonesia raya,negatif
"Apk tolol,dlu suruh download apknya biar ga usah antri isi bensin di jalur motor karna pakai apk ada jalur khususnya , skrg apaan, pakai apk ini aja tetap antri.",1,apk tololdlu suruh download apknya biar ga usah antri isi bensin di jalur motor karna pakai apk ada jalur khususnya  skrg apaan pakai apk ini aja tetap antri,netral
QR code ga bisa di upgrade...,3,qr code ga bisa di upgrade,netral
"Udah lah minyak di oplos,mau ambil data karna hilang barkot aja g bisa masuk",1,udah lah minyak di oplosmau ambil data karna hilang barkot aja g bisa masuk,netral
Jos,5,jos,netral
Verif ktp ditolak terus heran,1,verif ktp ditolak terus heran,netral
Excelent,5,excelent,netral
sangat mudah dan banyak keuntingan yg didapat,5,sangat mudah dan banyak keuntingan yg didapat,netral
Mau daftar saja susah Sangat mempersulit masyarakat,1,mau daftar saja susah sangat mempersulit masyarakat,netral
"Sy mau info ,spbu 34.139.08 ujung menteng jaktim ,operator nya nakal, sy isi pertalite meteran blm mati sdh di angkat nosel nya,padahal bbm nya msh ada di selang, ulah operator kaya gini bikin merusak citra pertamina , apalg msh hanget berita pertamax oplosan ,mksh",1,sy mau info spbu  ujung menteng jaktim operator nya nakal sy isi pertalite meteran blm mati sdh di angkat nosel nyapadahal bbm nya msh ada di selang ulah operator kaya gini bikin merusak citra pertamina  apalg msh hanget berita pertamax oplosan mksh,netral
"Jadi malas bayar pajak, beli pertalite saja di persulit. Ragistrasi di tolak terus capek rasanya.",1,jadi malas bayar pajak beli pertalite saja di persulit ragistrasi di tolak terus capek rasanya,netral
simpel,5,simpel,netral
Worst,1,worst,negatif
Uninstall gara2 blendingan,1,uninstall gara blendingan,netral
Pertamina koruptorrrr,1,pertamina koruptorrrr,netral
"Aplikasi anggaran miliaran nih pasti , keliatan dari jelek nya",1,aplikasi anggaran miliaran nih pasti  keliatan dari jelek nya,netral
tolong harga pertalite biru samain aja dengan pertalite hijau.,1,tolong harga pertalite biru samain aja dengan pertalite hijau,netral
Mudah dan simpel,5,mudah dan simpel,netral
mantap layanan nya,5,mantap layanan nya,netral
Bagus,5,bagus,netral
"Sudah antri lama ternyata bayar pake myPertamina sumber dana harus dari linkAja,trus ngapain di aplikasi ada sumber dana OVO!? L*L",1,sudah antri lama ternyata bayar pake mypertamina sumber dana harus dari linkajatrus ngapain di aplikasi ada sumber dana ovo ll,netral
oke,5,oke,netral
Rusak nih Mobil,1,rusak nih mobil,netral
"Tolong vendor IT murahan jangan dipakai untuk aplikasi sekelas BUMN ini. Terlalu banyak bug dan perbaikan, harus selalu update aplikasi dan barcode menjadikan tidak praktis dan efisien.",1,tolong vendor it murahan jangan dipakai untuk aplikasi sekelas bumn ini terlalu banyak bug dan perbaikan harus selalu update aplikasi dan barcode menjadikan tidak praktis dan efisien,netral
Parah gak semua SPBU gak mau terima pembayaran dari aplikasi my Pertamina karena sering error.,3,parah gak semua spbu gak mau terima pembayaran dari aplikasi my pertamina karena sering error,netral
lancar jayq,5,lancar jayq,netral
Foto tidak bs diuplod terus min,5,foto tidak bs diuplod terus min,netral
"Ok, sangat membantu...",5,ok sangat membantu,positif
terbaik,5,terbaik,netral
agak ribet utk tahap download ulang QRcode nya,3,agak ribet utk tahap download ulang qrcode nya,netral
"Tolong kalau bisa aplikasinya harus lebih di perhatikan,isi data aja kadang masih di bilang masih belum valid,padahal udah saya cek ga ada kesalahan,bikin repot saja",1,tolong kalau bisa aplikasinya harus lebih di perhatikanisi data aja kadang masih di bilang masih belum validpadahal udah saya cek ga ada kesalahanbikin repot saja,netral
Lumayan membantu,5,lumayan membantu,netral
Pokoknya pertamina oke deh,5,pokoknya pertamina oke deh,netral
Mau masuk akun ke subsidi tepat kog muat ulang kembali ke beranda. Solusi gimana ni,4,mau masuk akun ke subsidi tepat kog muat ulang kembali ke beranda solusi gimana ni,netral
Daftar gagal terus karena nopol di blokir tapi setelah di email belum ada jawaban.. Apknya tidak jelas bikin susah orang,1,daftar gagal terus karena nopol di blokir tapi setelah di email belum ada jawaban apknya tidak jelas bikin susah orang,netral
"dulu bisa inport foto dari galley, update skrg malah gak bisa. kacau ni aplikasi",1,dulu bisa inport foto dari galley update skrg malah gak bisa kacau ni aplikasi,netral
"Ni bagaimana ni situsnya gk jls bgt Kita SDH daftar ada account ssh bertanya,mohon maaf Nadia Lom mngerti silahkan pilih dr menu yg tersedia koplak da kita info ada account tp TDK ada dpt barcodenya hrsnya di beri penjelasan dong buat apa gunanya bantuan koplakkk",1,ni bagaimana ni situsnya gk jls bgt kita sdh daftar ada account ssh bertanyamohon maaf nadia lom mngerti silahkan pilih dr menu yg tersedia koplak da kita info ada account tp tdk ada dpt barcodenya hrsnya di beri penjelasan dong buat apa gunanya bantuan koplakkk,netral
👍👍,5,,netral
"Selalu minta ""muat ulang"".... Gak pernah beranjak dari muat ulang lagi.... Muat ulang lagi.... Muat ulang lagi.... Mohon bantuan lah admin... Mau buat barcode, gak bisa tembus dari muat ulang",1,selalu minta muat ulang gak pernah beranjak dari muat ulang lagi muat ulang lagi muat ulang lagi mohon bantuan lah admin mau buat barcode gak bisa tembus dari muat ulang,netral
Sarang korupsi,1,sarang korupsi,netral
Jossss,5,jossss,netral
Daftar subsidi tepat Pertalite dipersulit akhirnya isi Pertamax. Eh ternyata oplosan 😂,1,daftar subsidi tepat pertalite dipersulit akhirnya isi pertamax eh ternyata oplosan,netral
koruptttt,1,koruptttt,netral
Karena terpaksa aja...,1,karena terpaksa aja,netral
Penipu korupsi 1.000 triliun jangan download all,1,penipu korupsi  triliun jangan download all,netral
Beli Pertamax malah dapat pertalite,1,beli pertamax malah dapat pertalite,netral
Mantap,5,mantap,netral
Ga bisa registrasi. Kode otp ga nyampe²,2,ga bisa registrasi kode otp ga nyampe²,netral
ok,5,ok,positif
Aplikasinya EROR,1,aplikasinya eror,netral
Aplikasi eror syarat ketentuan udah di centang tombol lanjut masih gabisa ditekan,1,aplikasi eror syarat ketentuan udah di centang tombol lanjut masih gabisa ditekan,netral
Semoga tepat sasaran,5,semoga tepat sasaran,netral
bossss itu Pertamax yg diplos gimana ceritanya ya🤣🤣🤣 udah ngisi ribet dioplos pula mending ngisi di SPBU shell,1,bossss itu pertamax yg diplos gimana ceritanya ya udah ngisi ribet dioplos pula mending ngisi di spbu shell,netral
Disuruh menyetujui S&K. Udh disetujui malah aplikasi tidak mau lanjut. Stuck dihalaman persetujuannitu aj terus. Akibatnya sy g bisa isi bbm. Aplikasi jelek!!!😡🤬,1,disuruh menyetujui sk udh disetujui malah aplikasi tidak mau lanjut stuck dihalaman persetujuannitu aj terus akibatnya sy g bisa isi bbm aplikasi jelek,netral
Pertamax pertalite yg tidak antri,1,pertamax pertalite yg tidak antri,netral
mantap,5,mantap,netral
"Di korupsi terus pelanggane, rasane muangkel d ati",1,di korupsi terus pelanggane rasane muangkel d ati,netral
Dari dulu 2017 sampai 2025 pake Pertamax nyesel gw isi nya ternyata pertalite,1,dari dulu  sampai  pake pertamax nyesel gw isi nya ternyata pertalite,netral
"Perusahaan bumn yg ga pernah untung padahal rakyat ga pernah hutang, rugi terus padahal bbm di oplos, premium dihilangkan, ngerugiin negara ratusan triliun. Hmm",1,perusahaan bumn yg ga pernah untung padahal rakyat ga pernah hutang rugi terus padahal bbm di oplos premium dihilangkan ngerugiin negara ratusan triliun hmm,netral
"Penipu, koruptor",1,penipu koruptor,netral
"bbm nya di oplos ,dirut tidak ramah",1,bbm nya di oplos dirut tidak ramah,netral
Kembalikan duit pertamax gw yang di korupsi ya...,1,kembalikan duit pertamax gw yang di korupsi ya,netral
"Aplikasi tidak berguna, bikin susah, ribet ga ada guna, ga berfungsi.. habus dan berangus aja para mafia migas yg besembunyi dibalik aplikasi ini",1,aplikasi tidak berguna bikin susah ribet ga ada guna ga berfungsi habus dan berangus aja para mafia migas yg besembunyi dibalik aplikasi ini,netral
self service isi bensin motor tp sy isi pertamax turbo tidak antri kualitas ron 98 mantap dan harga pertamina sangat bersaing.,5,self service isi bensin motor tp sy isi pertamax turbo tidak antri kualitas ron  mantap dan harga pertamina sangat bersaing,netral
Saya sangat membutuhkan,5,saya sangat membutuhkan,netral
lemot,1,lemot,netral
Mudah pendaftarannya.,5,mudah pendaftarannya,netral
Oplosan,1,oplosan,netral
"Yg korupsi siapa yg dipersulit rakyat kecil, tolol",1,yg korupsi siapa yg dipersulit rakyat kecil tolol,netral
Ok,5,ok,positif
"Daftar ditolak terus karena foto mobil diambil dr layar (sistem busuk), kegunaan qrcode supaya subsidi tersalurkan dgn tepat (omong kosong), kalo mau tersalurkan dgn tepat (contoh minibus dgn kapasitas mesin diatas 2.000cc wajib isi pertamax/dexlite, beres gak berbelit), Bikin sistem gak sejalan dengan fasilitas (g*bl*k), kami di sumatera mau isi pertamax aja selalu kosong, gmn mau tersalurkan dengan tepat program mu (otak isi 741)",1,daftar ditolak terus karena foto mobil diambil dr layar sistem busuk kegunaan qrcode supaya subsidi tersalurkan dgn tepat omong kosong kalo mau tersalurkan dgn tepat contoh minibus dgn kapasitas mesin diatas cc wajib isi pertamaxdexlite beres gak berbelit bikin sistem gak sejalan dengan fasilitas gblk kami di sumatera mau isi pertamax aja selalu kosong gmn mau tersalurkan dengan tepat program mu otak isi,netral
Halah apa ini..ini bukan mempermudah tp mempersulit daftar nya aja d persulit suruh masukin ini itu udah d masukin semua tp setujui tidak nya ngk muncul..,2,halah apa iniini bukan mempermudah tp mempersulit daftar nya aja d persulit suruh masukin ini itu udah d masukin semua tp setujui tidak nya ngk muncul,netral
Tolong diperbaiki lagi moral petinggi nya,1,tolong diperbaiki lagi moral petinggi nya,netral
Heran juga dgn pertamina,1,heran juga dgn pertamina,netral
Sangat puspas.,5,sangat puspas,netral
"Lawak, masaan komen yang fakta malah dihapusin, kalau fakta ya harus diterima lahh",5,lawak masaan komen yang fakta malah dihapusin kalau fakta ya harus diterima lahh,netral
Banyak korup nya,1,banyak korup nya,netral
"pertamina bangke,bela""in beli pertamax ternyata pertalite jg yg di oplos,,,pertamina rugi doang untungnya kapan,bubar sja klo tdk jual ke swasta biar aman",1,pertamina bangkebelain beli pertamax ternyata pertalite jg yg di oplospertamina rugi doang untungnya kapanbubar sja klo tdk jual ke swasta biar aman,netral
Reset sandi kenapa pas mau diganti malah link kadaluarsa mulu gajelas,1,reset sandi kenapa pas mau diganti malah link kadaluarsa mulu gajelas,netral
Aplikasi telo...g bisa mbedain hasil foto kamera langsung dengan yg uploadan,1,aplikasi telog bisa mbedain hasil foto kamera langsung dengan yg uploadan,netral
Ok,5,ok,positif
"UX nya ngga banget. Pas daftar kendaraan, masa pas ngga sengaja kepencet btn back ngulang lagi dari awal??? Bukannya ke tampilan SEBELUM nya??? Mana data yg sdh diinputin ngga kesimpen lagi. Install cuma download qrcode doang. Abis tu UNINSTALL. Ngga kyk apl sebelah ngga ada drama ribet. Dan INGATT !!! INI OPLOSAN.",1,ux nya ngga banget pas daftar kendaraan masa pas ngga sengaja kepencet btn back ngulang lagi dari awal bukannya ke tampilan sebelum nya mana data yg sdh diinputin ngga kesimpen lagi install cuma download qrcode doang abis tu uninstall ngga kyk apl sebelah ngga ada drama ribet dan ingatt  ini oplosan,netral
Ok,5,ok,positif
bagusssss,4,bagusssss,netral
Sudah pindah SPBU,3,sudah pindah spbu,netral
Sangat tidak puas,1,sangat tidak puas,netral
"Gaguna Pertamina harga minyak turunin jangan sok mau menerapkan aplikasi2 sendirinya gabisa menurunkan harga, kalau tidak minimal Jan oplos buat perut sendiri",1,gaguna pertamina harga minyak turunin jangan sok mau menerapkan aplikasi sendirinya gabisa menurunkan harga kalau tidak minimal jan oplos buat perut sendiri,negatif
cepat,5,cepat,netral
Aplikasi ga jelas cuman untuk memperlancar jalan korupsi daftar nya susah banget ga tau apa masalah nya .. beli pertalite ga bisa harus ada barcode .. beli pertamax oplosan pertalite,1,aplikasi ga jelas cuman untuk memperlancar jalan korupsi daftar nya susah banget ga tau apa masalah nya  beli pertalite ga bisa harus ada barcode  beli pertamax oplosan pertalite,netral
Produknya oplosan.. aplikasinya jga oplosan bikin nambah susah rakyat,1,produknya oplosan aplikasinya jga oplosan bikin nambah susah rakyat,netral
okey,5,okey,netral
Mau hapus akun aja harus di tinjau udh krng lbh 4 smpe 5 hr blm acc duh benar benar mnegrikan yaa,1,mau hapus akun aja harus di tinjau udh krng lbh  smpe  hr blm acc duh benar benar mnegrikan yaa,negatif
Penipu,1,penipu,netral
Mending ngisi di suasta aja.,1,mending ngisi di suasta aja,netral
